Zone,Produit,Origine,Aliments pour animaux,Autres Utilisations,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Semences,Traitement,Variation de stock,Categorie
Afghanistan,Abats comestible,Animale,0.0,0.0,5.0,1.72,0.2,0.77,53000000.0,0.0,0.0,53000000.0,0.0,53000000.0,0.0,0.0,0.0,Viandes
Afghanistan,Agrumes et autres,Vegetale,0.0,0.0,1.0,1.29,0.01,0.02,41000000.0,2000000.0,40000000.0,39000000.0,2000000.0,3000000.0,0.0,0.0,0.0,Fruits
Afghanistan,Aliments pour enfants,Vegetale,0.0,0.0,1.0,0.06,0.01,0.03,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,Produits divers
Afghanistan,Ananas,Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fruits
Afghanistan,Bananes,Vegetale,0.0,0.0,4.0,2.7,0.02,0.05,82000000.0,0.0,82000000.0,82000000.0,0.0,0.0,0.0,0.0,0.0,Fruits
Afghanistan,Beurre et ghee,Animale,0.0,0.0,23.0,1.17,2.61,0.03,36000000.0,0.0,0.0,36000000.0,0.0,36000000.0,0.0,0.0,0.0,Huiles et graisses
Afghanistan,Bière,Vegetale,0.0,0.0,0.0,0.09,0.0,0.0,3000000.0,0.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,Boissons alcoolisees
Afghanistan,Blé,Vegetale,0.0,0.0,1369.0,160.23,4.69,36.91,5992000000.0,0.0,1173000000.0,4895000000.0,775000000.0,5169000000.0,322000000.0,0.0,-350000000.0,Céréales
Afghanistan,Boissons alcooliques,Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boissons alcoolisees
Afghanistan,Café,Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boissons stimulantes
Afghanistan,Coco (inclut coprah),Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oléagineux
Afghanistan,Crème,Animale,0.0,0.0,3.0,0.6,0.32,0.04,18000000.0,0.0,18000000.0,18000000.0,0.0,0.0,0.0,0.0,0.0,Lait et fromage
Afghanistan,Céréales et autres,Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Céréales
Afghanistan,Dattes,Vegetale,0.0,0.0,0.0,0.02,0.0,0.0,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Fruits
Afghanistan,Edulcorants autres,Vegetale,0.0,0.0,2.0,0.53,0.0,0.0,16000000.0,0.0,16000000.0,16000000.0,0.0,0.0,0.0,0.0,0.0,Sucres et édulcorants
Afghanistan,Feve de cacao,Vegetale,0.0,0.0,0.0,0.02,0.04,0.01,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Boissons stimulantes
Afghanistan,Fruits et autres,Vegetale,0.0,0.0,9.0,7.29,0.06,0.14,240000000.0,69000000.0,4000000.0,223000000.0,17000000.0,304000000.0,0.0,0.0,1000000.0,Fruits
Afghanistan,Graines de coton,Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,27000000.0,0.0,0.0,0.0,0.0,27000000.0,1000000.0,26000000.0,0.0,Oléagineux
Afghanistan,Graines de tournesol,Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,3000000.0,0.0,3000000.0,0.0,Oléagineux
Afghanistan,Graisses animales crue,Animale,0.0,0.0,12.0,0.49,1.31,0.01,15000000.0,0.0,1000000.0,15000000.0,0.0,14000000.0,0.0,0.0,0.0,Huiles et graisses
Afghanistan,Huile de plantes oléifères et autres,Vegetale,0.0,359000000.0,2.0,0.08,0.21,0.0,361000000.0,0.0,360000000.0,2000000.0,0.0,1000000.0,0.0,0.0,0.0,Huiles et graisses
Afghanistan,Huile graines de coton,Vegetale,0.0,1000000.0,3.0,0.12,0.34,0.0,5000000.0,0.0,0.0,4000000.0,0.0,5000000.0,0.0,0.0,0.0,Huiles et graisses
