Autres non-céréales,Blé et farines,Bulgur,Céréales,Céréales secondaires,Fruits secs,Graisses comestibles,Huiles végétales,Lait,Légumineuses sèches,Mélanges et préparations,Non-céréales,Poissons et produits de la mer,Riz,Sucre,Viande
682000,39224000,0,40504000,0,85000,0,11087000,0,11761000,0,23615000,0,1280000,0,0
335000,15160000,0,15989000,0,0,0,8185000,0,4010000,0,12618000,0,829000,88000,0
252000,0,0,10030000,2862000,204000,0,1030000,350000,4111000,3112000,7587000,0,4056000,1640000,0
205000,0,0,4933000,2280000,0,0,1050000,582000,2240000,1731000,4557000,0,922000,480000,0
4000,0,0,3512000,1311000,252000,0,0,500000,3026000,559000,5200000,0,1642000,1418000,0
0,0,0,3766000,1178000,252000,0,0,0,360000,855000,972000,0,1733000,360000,0
0,0,0,2500000,0,0,0,0,0,0,2500000,0,0,0,0,0
7000,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0
0,56709000,0,59954000,0,515000,0,2335000,0,2044000,2004000,5555000,580000,1241000,81000,0
0,91350000,0,94706000,0,0,0,1371000,0,1194000,1528000,2608000,0,1828000,43000,0
0,9740000,0,10609000,0,486000,0,111000,0,65000,869000,662000,0,0,0,0
0,0,0,537000,0,0,0,127000,0,198000,0,325000,0,537000,0,0
0,0,0,0,0,0,0,73000,0,0,0,73000,0,0,0,0
0,0,0,0,0,0,0,91000,0,198000,0,289000,0,0,0,0
0,0,0,0,0,0,0,109000,0,0,0,109000,0,0,0,0
3000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0
507000,10000,0,6381000,827000,0,0,758000,0,1664000,4876000,2929000,0,668000,0,0
283000,7000,0,9605000,1032000,0,0,692000,0,889000,1793000,1864000,0,6773000,0,0
27000,0,0,9066000,158000,126000,0,590000,0,1782000,3538000,2525000,0,5370000,0,0
0,0,0,0,0,36000,0,0,0,0,0,36000,0,0,0,0
0,13667000,0,24992000,3092000,0,0,770000,0,809000,3098000,1694000,0,5135000,115000,0
185000,0,0,4271000,3152000,0,0,350000,0,699000,1119000,1234000,0,0,0,0
110000,0,0,5648000,745000,0,0,390000,0,270000,4903000,820000,0,0,50000,0
45000,0,0,8490000,0,0,0,0,0,276000,0,321000,0,8490000,0,0
50000,0,0,0,0,0,0,0,0,286000,0,336000,0,0,0,0
0,0,0,1439000,0,0,0,260000,0,194000,679000,454000,0,760000,0,0
0,0,0,0,0,72000,0,0,0,0,0,72000,0,0,0,0
50000,0,0,4306000,0,0,0,336000,0,569000,1695000,1181000,226000,2611000,0,0
75000,0,0,4644000,0,0,0,449000,0,382000,710000,1392000,486000,3934000,0,0
22000,0,0,279000,0,0,0,204000,0,522000,0,1088000,340000,279000,0,0
472000,0,0,1700000,968000,0,0,164000,0,117000,452000,753000,0,280000,0,0
643000,0,0,5302000,2038000,0,0,175000,0,697000,708000,1540000,0,2556000,25000,0
811000,0,0,12475000,0,134000,0,569000,0,1982000,239000,3680000,0,12236000,184000,0
0,0,0,0,0,0,0,289000,0,0,0,289000,0,0,0,0
0,0,0,649000,0,0,0,0,0,0,0,0,0,649000,0,0
0,0,0,2190000,0,0,0,1020000,0,2373000,0,3531000,0,2190000,138000,0
0,0,0,3335000,0,0,0,858000,0,0,0,1263000,0,3335000,405000,0
0,0,0,1672000,0,0,0,800000,0,849000,0,1649000,0,1672000,0,0
0,0,0,1963000,0,0,0,0,0,770000,0,770000,0,1963000,0,0
0,0,0,3903000,0,0,0,0,0,0,0,0,0,3903000,0,0
136000,0,0,2755000,1311000,0,0,18000,0,767000,0,1262000,341000,1444000,0,0
140000,0,0,2260000,172000,0,0,508000,0,1366000,198000,2198000,184000,1890000,0,0
26000,0,0,2567000,0,0,0,91000,0,170000,0,433000,146000,2567000,0,0
0,0,0,450000,0,0,0,112000,0,235000,0,347000,0,450000,0,0
7000,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0
8000,0,0,2698000,0,0,0,0,150000,1277000,305000,1435000,0,2393000,0,0
67000,0,0,7416000,0,0,0,2084000,0,1724000,525000,3875000,0,6891000,0,0
104000,0,0,4521000,0,0,0,0,0,336000,647000,440000,0,3874000,0,0
108000,0,0,5297000,0,900000,0,19000,0,0,197000,1027000,0,5100000,0,0
0,0,0,4323000,0,0,0,70000,0,0,0,70000,0,4323000,0,0
41000,5930000,0,9076000,1300000,68000,0,0,0,838000,1021000,1108000,0,825000,161000,0
50000,4217000,0,7542000,2030000,0,0,386000,0,518000,970000,1002000,0,325000,48000,0
0,384000,0,1558000,800000,126000,0,0,0,190000,274000,362000,0,100000,46000,0
0,0,0,1005000,0,0,0,0,0,0,0,0,0,1005000,0,0
0,0,0,38000,0,0,0,172000,0,0,38000,172000,0,0,0,0
0,0,0,497000,0,0,0,198000,0,0,497000,198000,0,0,0,0
0,0,0,596000,0,0,0,0,0,0,0,0,0,596000,0,0
0,0,0,3941000,0,0,0,347000,0,766000,1941000,1113000,0,2000000,0,0
0,0,0,665000,0,0,0,36000,0,115000,240000,151000,0,425000,0,0
0,0,0,120000,0,0,0,97000,0,308000,120000,405000,0,0,0,0
0,0,0,0,0,0,0,0,0,168000,0,168000,0,0,0,0
0,0,0,1727000,0,0,0,429000,0,322000,602000,751000,0,1125000,0,0
2000,0,0,3621000,0,0,0,435000,0,0,3071000,462000,0,550000,25000,0
0,0,0,1252000,0,0,0,0,0,0,1002000,25000,0,250000,25000,0
0,0,0,10736000,0,0,0,1189000,0,14388000,2369000,15577000,0,8367000,0,0
0,210000,0,5248000,699000,0,0,1286000,0,5390000,1720000,6676000,0,2619000,0,0
0,270000,0,4792000,350000,0,0,1010000,0,4721000,1303000,5731000,0,2869000,0,0
0,0,0,355000,0,0,0,0,0,348000,355000,348000,0,0,0,0
57000,0,0,2281000,0,0,0,515000,0,511000,306000,1083000,0,1975000,0,0
69000,0,78000,6150000,0,0,0,779000,0,1849000,1587000,2697000,0,4485000,0,0
297000,0,0,4786000,0,54000,0,3049000,0,2456000,956000,5879000,0,3830000,23000,0
731000,0,0,4337000,0,0,0,1027000,0,1559000,812000,3409000,0,3525000,92000,0
118000,0,0,2496000,0,0,0,146000,0,459000,1946000,1213000,490000,550000,0,0
0,0,0,692000,0,0,0,415000,0,275000,517000,690000,0,175000,0,0
3000,2000,0,4000,0,0,0,6000,0,0,0,13000,0,2000,3000,1000
4000,0,0,2000,0,0,0,7000,0,2000,0,16000,0,2000,3000,0
396000,0,3908000,23158000,0,0,0,2218000,17000,4613000,8080000,7449000,0,11170000,205000,0
254000,0,780000,12440000,0,0,0,1315000,0,2545000,1010000,4114000,0,10650000,0,0
